store,city,product_id,name,brand,category,subcategory,price,sale_price,currency,quantity,unit,price_per_unit,in_stock,image_url,product_url,barcode,description,scraped_at,_store,_city,_scraped_at
chaseup,karachi,1419850,Mitchells Chick Peas Tin 800Gm,,Grocery & Staples,,625.0,,PKR,800.0,g,78.125,True,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000285907.jpg,https://www.chaseupgrocery.com/catalog/grocery--staples-30886/grocery--staples-55110,,,2026-03-11T13:58:39.797873+00:00,chaseup,karachi,2026-03-11T13:58:39.797873+00:00
chaseup,karachi,1419848,Mitchells Chick Peas Tin 440Gm,,Grocery & Staples,,435.0,,PKR,440.0,g,98.8636,True,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000288040.jpg,https://www.chaseupgrocery.com/catalog/grocery--staples-30886/grocery--staples-55110,,,2026-03-11T13:58:39.797873+00:00,chaseup,karachi,2026-03-11T13:58:39.797873+00:00
chaseup,karachi,1419847,Polac Pineapple Slice Tin 565Gm,,Grocery & Staples,,479.0,,PKR,565.0,g,84.7788,True,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000288640.jpg,https://www.chaseupgrocery.com/catalog/grocery--staples-30886/grocery--staples-55110,,,2026-03-11T13:58:39.797873+00:00,chaseup,karachi,2026-03-11T13:58:39.797873+00:00
chaseup,karachi,1419845,Polac Fruit Cocktail Tin 545Gm,,Grocery & Staples,,520.0,,PKR,545.0,g,95.4128,True,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000299320.jpg,https://www.chaseupgrocery.com/catalog/grocery--staples-30886/grocery--staples-55110,,,2026-03-11T13:58:39.797873+00:00,chaseup,karachi,2026-03-11T13:58:39.797873+00:00
chaseup,karachi,1419844,Polac Broken Pineapple Slice Tin 545Gm,,Grocery & Staples,,499.0,,PKR,545.0,g,91.5596,True,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000286750.jpg,https://www.chaseupgrocery.com/catalog/grocery--staples-30886/grocery--staples-55110,,,2026-03-11T13:58:39.797873+00:00,chaseup,karachi,2026-03-11T13:58:39.797873+00:00
chaseup,karachi,2647768,Life Essences Sunset Aura Body Lotion 200Ml,,Health & Beauty,,249.0,,PKR,200.0,ml,124.5,True,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008243890.jpg,https://www.chaseupgrocery.com/catalog/health--beauty-30887/health--beauty-55111,,,2026-03-11T13:58:39.797873+00:00,chaseup,karachi,2026-03-11T13:58:39.797873+00:00
chaseup,karachi,2647767,Life Essences Honey Kissed Body Lotion 200Ml,,Health & Beauty,,249.0,,PKR,200.0,ml,124.5,True,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008243889.jpg,https://www.chaseupgrocery.com/catalog/health--beauty-30887/health--beauty-55111,,,2026-03-11T13:58:39.797873+00:00,chaseup,karachi,2026-03-11T13:58:39.797873+00:00
chaseup,karachi,2647766,Life Essences Glow Affair Body Lotion 200Ml,,Health & Beauty,,249.0,,PKR,200.0,ml,124.5,True,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008243891.jpg,https://www.chaseupgrocery.com/catalog/health--beauty-30887/health--beauty-55111,,,2026-03-11T13:58:39.797873+00:00,chaseup,karachi,2026-03-11T13:58:39.797873+00:00
chaseup,karachi,2647765,Life Essences Butter Temptation Body Lotion 200Ml,,Health & Beauty,,249.0,,PKR,200.0,ml,124.5,True,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008243888.jpg,https://www.chaseupgrocery.com/catalog/health--beauty-30887/health--beauty-55111,,,2026-03-11T13:58:39.797873+00:00,chaseup,karachi,2026-03-11T13:58:39.797873+00:00
chaseup,karachi,2647764,Life Essences Aloe Touch Body Lotion 200Ml,,Health & Beauty,,249.0,,PKR,200.0,ml,124.5,True,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008243892.jpg,https://www.chaseupgrocery.com/catalog/health--beauty-30887/health--beauty-55111,,,2026-03-11T13:58:39.797873+00:00,chaseup,karachi,2026-03-11T13:58:39.797873+00:00
chaseup,karachi,2499913,Palmolive Moisture Smooth Shower Cream 225Ml,,Health & Beauty,,445.0,,PKR,225.0,ml,197.7778,True,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008080080.jpg,https://www.chaseupgrocery.com/catalog/health--beauty-30887/health--beauty-55111,,,2026-03-11T13:58:39.797873+00:00,chaseup,karachi,2026-03-11T13:58:39.797873+00:00
chaseup,karachi,2499897,Dettol Soothe Soap Promo Pack 4Pcs 110Gm,,Health & Beauty,,509.0,,PKR,4.0,pcs,127.25,True,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000487114.jpg,https://www.chaseupgrocery.com/catalog/health--beauty-30887/health--beauty-55111,,,2026-03-11T13:58:39.797873+00:00,chaseup,karachi,2026-03-11T13:58:39.797873+00:00
chaseup,karachi,2499844,Protex Aloe Soap 95Gm,,Health & Beauty,,125.0,,PKR,95.0,g,131.5789,True,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000457918.jpg,https://www.chaseupgrocery.com/catalog/health--beauty-30887/health--beauty-55111,,,2026-03-11T13:58:39.797873+00:00,chaseup,karachi,2026-03-11T13:58:39.797873+00:00
chaseup,karachi,2499840,Life Essence Original Petroleum Jelly 100Ml,,Health & Beauty,,209.0,,PKR,100.0,ml,209.0,True,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000711271.jpg,https://www.chaseupgrocery.com/catalog/health--beauty-30887/health--beauty-55111,,,2026-03-11T13:58:39.797873+00:00,chaseup,karachi,2026-03-11T13:58:39.797873+00:00
